,conta,duração,quantia,poupança,emprego,idade,creditos,trabalho,pagador
0,negativo,6,1169,sem conta,> 7 anos,67,2,nível 2,bom
1,[0-200),48,5951,<100,"[1,4) anos",22,1,nível 2,mau
2,sem conta,12,2096,<100,"[4,7) anos",49,1,nível 1,bom
3,negativo,42,7882,<100,"[4,7) anos",45,1,nível 2,bom
4,negativo,24,4870,<100,"[1,4) anos",53,2,nível 2,mau
5,sem conta,36,9055,sem conta,"[1,4) anos",35,1,nível 1,bom
6,sem conta,24,2835,[500-1000),> 7 anos,53,1,nível 2,bom
7,[0-200),36,6948,<100,"[1,4) anos",35,1,nível 3,bom
8,sem conta,12,3059,>1000,"[4,7) anos",61,1,nível 1,bom
9,[0-200),30,5234,<100,desempregado,28,2,nível 3,mau
10,[0-200),12,1295,<100,< 1 ano,25,1,nível 2,mau
11,negativo,48,4308,<100,< 1 ano,24,1,nível 2,mau
12,[0-200),12,1567,<100,"[1,4) anos",22,1,nível 2,bom
13,negativo,24,1199,<100,> 7 anos,60,2,nível 1,mau
14,negativo,15,1403,<100,"[1,4) anos",28,1,nível 2,bom
15,negativo,24,1282,[100-500),"[1,4) anos",32,1,nível 1,mau
16,sem conta,24,2424,sem conta,> 7 anos,53,2,nível 2,bom
17,negativo,30,8072,sem conta,< 1 ano,25,3,nível 2,bom
18,[0-200),24,12579,<100,> 7 anos,44,1,nível 3,mau
19,sem conta,24,3430,[500-1000),> 7 anos,31,1,nível 2,bom
20,sem conta,9,2134,<100,"[1,4) anos",48,3,nível 2,bom
21,negativo,6,2647,[500-1000),"[1,4) anos",44,1,nível 2,bom
22,negativo,10,2241,<100,< 1 ano,48,2,nível 1,bom
23,[0-200),12,1804,[100-500),< 1 ano,44,1,nível 2,bom
24,sem conta,10,2069,sem conta,"[1,4) anos",26,2,nível 2,bom
25,negativo,6,1374,<100,"[1,4) anos",36,1,nível 1,bom
26,sem conta,6,426,<100,> 7 anos,39,1,nível 1,bom
27,200+,12,409,>1000,"[1,4) anos",42,2,nível 2,bom
28,[0-200),7,2415,<100,"[1,4) anos",34,1,nível 2,bom
29,negativo,60,6836,<100,> 7 anos,63,2,nível 2,mau
30,[0-200),18,1913,>1000,< 1 ano,36,1,nível 2,bom
31,negativo,24,4020,<100,"[1,4) anos",27,1,nível 2,bom
32,[0-200),18,5866,[100-500),"[1,4) anos",30,2,nível 2,bom
33,sem conta,12,1264,sem conta,> 7 anos,57,1,nível 1,bom
34,200+,12,1474,<100,< 1 ano,33,1,nível 3,bom
35,[0-200),45,4746,<100,< 1 ano,25,2,nível 1,mau
36,sem conta,48,6110,<100,"[1,4) anos",31,1,nível 2,bom
37,200+,18,2100,<100,"[1,4) anos",37,1,nível 2,mau
38,200+,10,1225,<100,"[1,4) anos",37,1,nível 2,bom
39,[0-200),9,458,<100,"[1,4) anos",24,1,nível 2,bom
40,sem conta,30,2333,[500-1000),> 7 anos,30,1,nível 3,bom
41,[0-200),12,1158,[500-1000),"[1,4) anos",26,1,nível 2,bom
42,[0-200),18,6204,<100,"[1,4) anos",44,1,nível 1,bom
43,negativo,30,6187,[100-500),"[4,7) anos",24,2,nível 2,bom
44,negativo,48,6143,<100,> 7 anos,58,2,nível 1,mau
45,sem conta,11,1393,<100,< 1 ano,35,2,nível 3,bom
46,sem conta,36,2299,[500-1000),> 7 anos,39,1,nível 2,bom
47,negativo,6,1352,[500-1000),desempregado,23,1,desempregado,bom
48,sem conta,11,7228,<100,"[1,4) anos",39,2,nível 1,bom
49,sem conta,12,2073,[100-500),"[1,4) anos",28,1,nível 2,bom
50,[0-200),24,2333,sem conta,< 1 ano,29,1,nível 1,bom
51,[0-200),27,5965,<100,> 7 anos,30,2,nível 3,bom
52,sem conta,12,1262,<100,"[1,4) anos",25,1,nível 2,bom
53,sem conta,18,3378,sem conta,"[1,4) anos",31,1,nível 2,bom
54,[0-200),36,2225,<100,> 7 anos,57,2,nível 2,mau
55,sem conta,6,783,sem conta,"[1,4) anos",26,1,nível 1,bom
56,[0-200),12,6468,sem conta,desempregado,52,1,nível 3,mau
57,sem conta,36,9566,<100,"[1,4) anos",31,2,nível 2,bom
58,200+,18,1961,<100,> 7 anos,23,1,nível 3,bom
59,negativo,36,6229,<100,< 1 ano,23,2,nível 1,mau
60,[0-200),9,1391,<100,"[1,4) anos",27,1,nível 2,bom
61,[0-200),15,1537,sem conta,> 7 anos,50,2,nível 2,bom
62,[0-200),36,1953,<100,> 7 anos,61,1,nível 3,mau
63,[0-200),48,14421,<100,"[1,4) anos",25,1,nível 2,mau
64,sem conta,24,3181,<100,< 1 ano,26,1,nível 2,bom
65,sem conta,27,5190,sem conta,> 7 anos,48,4,nível 2,bom
66,sem conta,12,2171,<100,< 1 ano,29,1,nível 2,bom
67,[0-200),12,1007,>1000,"[1,4) anos",22,1,nível 2,bom
68,sem conta,36,1819,<100,"[1,4) anos",37,1,nível 2,mau
69,sem conta,36,2394,sem conta,"[1,4) anos",25,1,nível 2,bom
70,sem conta,36,8133,<100,"[1,4) anos",30,1,nível 2,bom
71,sem conta,7,730,sem conta,> 7 anos,46,2,nível 1,bom
72,negativo,8,1164,<100,> 7 anos,51,2,nível 3,bom
73,[0-200),42,5954,<100,"[4,7) anos",41,2,nível 1,bom
74,negativo,36,1977,sem conta,> 7 anos,40,1,nível 3,mau
75,negativo,12,1526,<100,> 7 anos,66,2,nível 3,bom
76,negativo,42,3965,<100,< 1 ano,34,1,nível 2,mau
77,[0-200),11,4771,<100,"[4,7) anos",51,1,nível 2,bom
78,sem conta,54,9436,sem conta,"[1,4) anos",39,1,nível 1,bom
79,[0-200),30,3832,<100,< 1 ano,22,1,nível 2,bom
80,sem conta,24,5943,sem conta,< 1 ano,44,2,nível 2,mau
81,sem conta,15,1213,[500-1000),> 7 anos,47,1,nível 2,bom
82,sem conta,18,1568,[100-500),"[1,4) anos",24,1,nível 1,bom
83,negativo,24,1755,<100,> 7 anos,58,1,nível 1,bom
84,negativo,10,2315,<100,> 7 anos,52,1,nível 1,bom
85,sem conta,12,1412,<100,"[1,4) anos",29,2,nível 3,bom
86,[0-200),18,1295,<100,< 1 ano,27,2,nível 2,bom
87,[0-200),36,12612,[100-500),"[1,4) anos",47,1,nível 2,mau
88,negativo,18,2249,[100-500),"[4,7) anos",30,1,nível 3,bom
89,negativo,12,1108,<100,"[4,7) anos",28,2,nível 2,mau
90,sem conta,12,618,<100,> 7 anos,56,1,nível 2,bom
91,negativo,12,1409,<100,> 7 anos,54,1,nível 2,bom
92,sem conta,12,797,sem conta,> 7 anos,33,1,nível 1,mau
93,200+,24,3617,sem conta,> 7 anos,20,2,nível 2,bom
94,[0-200),12,1318,>1000,> 7 anos,54,1,nível 2,bom
95,[0-200),54,15945,<100,< 1 ano,58,1,nível 2,mau
96,sem conta,12,2012,sem conta,"[4,7) anos",61,1,nível 2,bom
97,[0-200),18,2622,[100-500),"[1,4) anos",34,1,nível 2,bom
98,[0-200),36,2337,<100,> 7 anos,36,1,nível 2,bom
99,[0-200),20,7057,sem conta,"[4,7) anos",36,2,nível 3,bom
100,sem conta,24,1469,[100-500),> 7 anos,41,1,nível 1,bom
101,[0-200),36,2323,<100,"[4,7) anos",24,1,nível 2,bom
102,sem conta,6,932,<100,"[1,4) anos",24,1,nível 2,bom
103,[0-200),9,1919,<100,"[4,7) anos",35,1,nível 2,bom
104,sem conta,12,2445,sem conta,< 1 ano,26,1,nível 2,bom
105,[0-200),24,11938,<100,"[1,4) anos",39,2,nível 3,mau
106,sem conta,18,6458,<100,> 7 anos,39,2,nível 3,mau
107,[0-200),12,6078,<100,"[4,7) anos",32,1,nível 2,bom
108,negativo,24,7721,sem conta,< 1 ano,30,1,nível 2,bom
109,[0-200),14,1410,[500-1000),> 7 anos,35,1,nível 2,bom
110,[0-200),6,1449,[100-500),> 7 anos,31,2,nível 2,bom
111,200+,15,392,<100,< 1 ano,23,1,nível 2,bom
112,[0-200),18,6260,<100,"[4,7) anos",28,1,nível 1,bom
113,sem conta,36,7855,<100,"[1,4) anos",25,2,nível 2,mau
114,negativo,12,1680,[500-1000),> 7 anos,35,1,nível 2,bom
115,sem conta,48,3578,sem conta,> 7 anos,47,1,nível 2,bom
116,negativo,42,7174,sem conta,"[4,7) anos",30,1,nível 3,mau
117,negativo,10,2132,sem conta,< 1 ano,27,2,nível 2,bom
118,negativo,33,4281,[500-1000),"[1,4) anos",23,2,nível 2,mau
119,[0-200),12,2366,[500-1000),"[4,7) anos",36,1,nível 3,bom
120,negativo,21,1835,<100,"[1,4) anos",25,2,nível 2,mau
121,sem conta,24,3868,<100,> 7 anos,41,2,nível 3,bom
122,sem conta,12,1768,<100,"[1,4) anos",24,1,nível 1,bom
123,200+,10,781,<100,> 7 anos,63,2,nível 2,bom
124,[0-200),18,1924,sem conta,< 1 ano,27,1,nível 2,mau
125,negativo,12,2121,<100,"[1,4) anos",30,2,nível 2,bom
126,negativo,12,701,<100,"[1,4) anos",40,1,nível 1,bom
127,[0-200),12,639,<100,"[1,4) anos",30,1,nível 2,mau
128,[0-200),12,1860,<100,desempregado,34,2,nível 3,bom
129,negativo,12,3499,<100,"[1,4) anos",29,2,nível 2,mau
130,[0-200),48,8487,sem conta,"[4,7) anos",24,1,nível 2,bom
131,negativo,36,6887,<100,"[1,4) anos",29,1,nível 2,mau
132,sem conta,15,2708,<100,< 1 ano,27,2,nível 1,bom
133,sem conta,18,1984,<100,"[1,4) anos",47,2,nível 2,bom
134,sem conta,60,10144,[100-500),"[4,7) anos",21,1,nível 2,bom
135,sem conta,12,1240,sem conta,> 7 anos,38,2,nível 2,bom
136,sem conta,27,8613,>1000,"[1,4) anos",27,2,nível 2,bom
137,[0-200),12,766,[500-1000),"[1,4) anos",66,1,nível 1,mau
138,[0-200),15,2728,sem conta,"[4,7) anos",35,3,nível 2,bom
139,200+,12,1881,<100,"[1,4) anos",44,1,nível 1,bom
140,200+,6,709,>1000,< 1 ano,27,1,desempregado,bom
141,[0-200),36,4795,<100,< 1 ano,30,1,nível 3,bom
142,negativo,27,3416,<100,"[1,4) anos",27,1,nível 3,bom
143,negativo,18,2462,<100,"[1,4) anos",22,1,nível 2,mau
144,sem conta,21,2288,<100,< 1 ano,23,1,nível 2,bom
145,[0-200),48,3566,[100-500),"[4,7) anos",30,1,nível 2,bom
146,negativo,6,860,<100,> 7 anos,39,2,nível 2,bom
147,sem conta,12,682,[100-500),"[4,7) anos",51,2,nível 2,bom
148,negativo,36,5371,<100,"[1,4) anos",28,2,nível 2,bom
149,sem conta,18,1582,>1000,> 7 anos,46,2,nível 2,bom
150,sem conta,6,1346,[100-500),> 7 anos,42,1,nível 2,bom
151,sem conta,10,1924,<100,"[1,4) anos",38,1,nível 2,bom
152,200+,36,5848,<100,"[1,4) anos",24,1,nível 2,bom
153,[0-200),24,7758,>1000,> 7 anos,29,1,nível 2,bom
154,[0-200),24,6967,[100-500),"[4,7) anos",36,1,nível 3,bom
155,negativo,12,1282,<100,"[1,4) anos",20,1,nível 2,mau
156,negativo,9,1288,[100-500),> 7 anos,48,2,nível 2,bom
157,negativo,12,339,<100,> 7 anos,45,1,nível 1,bom
158,[0-200),24,3512,[100-500),"[4,7) anos",38,2,nível 2,bom
159,sem conta,6,1898,sem conta,"[1,4) anos",34,2,nível 1,bom
160,sem conta,24,2872,[100-500),> 7 anos,36,1,nível 2,bom
161,sem conta,18,1055,<100,< 1 ano,30,2,nível 2,bom
162,sem conta,15,1262,[500-1000),"[4,7) anos",36,2,nível 2,bom
163,[0-200),10,7308,<100,desempregado,70,1,nível 3,bom
164,sem conta,36,909,[500-1000),> 7 anos,36,1,nível 2,bom
165,sem conta,6,2978,[500-1000),"[1,4) anos",32,1,nível 2,bom
166,negativo,18,1131,<100,desempregado,33,1,nível 2,mau
167,[0-200),11,1577,>1000,< 1 ano,20,1,nível 2,bom
168,sem conta,24,3972,<100,"[4,7) anos",25,1,nível 2,bom
169,[0-200),24,1935,<100,> 7 anos,31,2,nível 2,mau
170,negativo,15,950,<100,> 7 anos,33,2,nível 2,mau
171,sem conta,12,763,<100,"[1,4) anos",26,1,nível 2,bom
172,[0-200),24,2064,<100,desempregado,34,1,nível 3,mau
173,[0-200),8,1414,<100,"[1,4) anos",33,1,nível 2,bom
174,negativo,21,3414,<100,< 1 ano,26,2,nível 2,mau
175,sem conta,30,7485,sem conta,desempregado,53,1,nível 3,mau
176,negativo,12,2577,<100,"[1,4) anos",42,1,nível 2,bom
177,negativo,6,338,[500-1000),> 7 anos,52,2,nível 2,bom
178,sem conta,12,1963,<100,"[4,7) anos",31,2,nível 3,bom
179,negativo,21,571,<100,> 7 anos,65,2,nível 2,bom
180,sem conta,36,9572,<100,< 1 ano,28,2,nível 2,mau
181,[0-200),36,4455,<100,"[1,4) anos",30,2,nível 3,mau
182,negativo,21,1647,sem conta,"[1,4) anos",40,2,nível 1,mau
183,sem conta,24,3777,>1000,"[1,4) anos",50,1,nível 2,bom
184,[0-200),18,884,<100,> 7 anos,36,1,nível 2,mau
185,sem conta,15,1360,<100,"[1,4) anos",31,2,nível 2,bom
186,[0-200),9,5129,<100,> 7 anos,74,1,nível 3,mau
187,[0-200),16,1175,<100,desempregado,68,3,desempregado,bom
188,negativo,12,674,[100-500),"[4,7) anos",20,1,nível 2,mau
189,[0-200),18,3244,<100,"[1,4) anos",33,2,nível 2,bom
190,sem conta,24,4591,>1000,"[1,4) anos",54,3,nível 3,mau
191,[0-200),48,3844,[100-500),"[4,7) anos",34,1,nível 1,mau
192,[0-200),27,3915,<100,"[1,4) anos",36,1,nível 2,mau
193,sem conta,6,2108,<100,"[4,7) anos",29,1,nível 2,bom
194,[0-200),45,3031,[100-500),"[1,4) anos",21,1,nível 2,mau
195,[0-200),9,1501,<100,> 7 anos,34,2,nível 3,mau
196,sem conta,6,1382,<100,"[1,4) anos",28,2,nível 2,bom
197,[0-200),12,951,[100-500),< 1 ano,27,4,nível 2,mau
198,[0-200),24,2760,sem conta,> 7 anos,36,1,nível 2,bom
199,[0-200),18,4297,<100,> 7 anos,40,1,nível 3,mau
200,sem conta,9,936,[500-1000),> 7 anos,52,2,nível 2,bom
201,negativo,12,1168,<100,"[1,4) anos",27,1,nível 1,bom
202,sem conta,27,5117,<100,"[4,7) anos",26,2,nível 2,bom
203,negativo,12,902,<100,"[4,7) anos",21,1,nível 2,mau
204,sem conta,12,1495,<100,> 7 anos,38,2,nível 1,bom
205,negativo,30,10623,<100,> 7 anos,38,3,nível 3,bom
206,sem conta,12,1935,<100,> 7 anos,43,3,nível 2,bom
207,[0-200),12,1424,<100,"[4,7) anos",26,1,nível 2,bom
208,negativo,24,6568,<100,"[1,4) anos",21,1,nível 1,bom
209,sem conta,12,1413,>1000,"[4,7) anos",55,1,nível 2,bom
210,sem conta,9,3074,sem conta,"[1,4) anos",33,2,nível 2,bom
211,sem conta,36,3835,sem conta,> 7 anos,45,1,nível 1,bom
212,negativo,27,5293,<100,desempregado,50,2,nível 2,mau
213,200+,30,1908,<100,> 7 anos,66,1,nível 3,mau
214,sem conta,36,3342,sem conta,> 7 anos,51,1,nível 2,bom
215,[0-200),6,932,sem conta,"[4,7) anos",39,2,nível 1,bom
216,negativo,18,3104,<100,"[4,7) anos",31,1,nível 2,bom
217,200+,36,3913,<100,"[1,4) anos",23,1,nível 2,bom
218,negativo,24,3021,<100,"[1,4) anos",24,1,nível 1,bom
219,sem conta,10,1364,<100,"[1,4) anos",64,1,nível 2,bom
220,[0-200),12,625,<100,< 1 ano,26,1,nível 1,bom
221,negativo,12,1200,sem conta,"[1,4) anos",23,1,nível 2,bom
222,sem conta,12,707,<100,"[1,4) anos",30,2,nível 2,bom
223,sem conta,24,2978,sem conta,"[1,4) anos",32,2,nível 2,bom
224,sem conta,15,4657,<100,"[1,4) anos",30,1,nível 2,bom
225,sem conta,36,2613,<100,"[1,4) anos",27,2,nível 2,bom
226,[0-200),48,10961,>1000,"[4,7) anos",27,2,nível 2,mau
227,negativo,12,7865,<100,> 7 anos,53,1,nível 3,mau
228,sem conta,9,1478,<100,"[4,7) anos",22,1,nível 2,mau
229,negativo,24,3149,<100,< 1 ano,22,1,nível 2,bom
230,200+,36,4210,<100,"[1,4) anos",26,1,nível 2,mau
231,sem conta,9,2507,[500-1000),> 7 anos,51,1,nível 1,bom
232,sem conta,12,2141,[100-500),"[4,7) anos",35,1,nível 2,bom
233,[0-200),18,866,<100,"[1,4) anos",25,1,nível 1,bom
234,sem conta,4,1544,<100,"[4,7) anos",42,3,nível 1,bom
235,negativo,24,1823,<100,desempregado,30,1,nível 3,mau
236,[0-200),6,14555,sem conta,desempregado,23,1,desempregado,mau
237,[0-200),21,2767,[100-500),> 7 anos,61,2,nível 1,mau
238,sem conta,12,1291,<100,"[1,4) anos",35,2,nível 2,bom
239,negativo,30,2522,<100,> 7 anos,39,1,nível 2,bom
240,negativo,24,915,sem conta,> 7 anos,29,1,nível 2,mau
241,sem conta,6,1595,<100,"[4,7) anos",51,1,nível 2,bom
242,negativo,48,4605,<100,> 7 anos,24,2,nível 2,mau
243,sem conta,12,1185,<100,"[1,4) anos",27,2,nível 2,bom
244,sem conta,12,3447,[500-1000),"[1,4) anos",35,1,nível 1,bom
245,sem conta,24,1258,<100,"[4,7) anos",25,1,nível 2,bom
246,sem conta,12,717,<100,> 7 anos,52,3,nível 2,bom
247,sem conta,6,1204,[100-500),"[1,4) anos",35,1,nível 2,bom
248,200+,24,1925,<100,"[1,4) anos",26,1,nível 2,bom
249,sem conta,18,433,<100,desempregado,22,1,nível 2,mau
250,negativo,6,666,>1000,"[4,7) anos",39,2,nível 1,bom
251,200+,12,2251,<100,"[1,4) anos",46,1,nível 1,bom
252,[0-200),30,2150,<100,"[1,4) anos",24,1,nível 2,mau
253,sem conta,24,4151,[100-500),"[1,4) anos",35,2,nível 2,bom
254,[0-200),9,2030,sem conta,"[4,7) anos",24,1,nível 2,bom
255,[0-200),60,7418,sem conta,"[1,4) anos",27,1,nível 1,bom
256,sem conta,24,2684,<100,"[1,4) anos",35,2,nível 1,bom
257,negativo,12,2149,<100,"[1,4) anos",29,1,nível 2,mau
258,sem conta,15,3812,[100-500),< 1 ano,23,1,nível 2,bom
259,sem conta,11,1154,[100-500),desempregado,57,3,nível 1,bom
260,negativo,12,1657,<100,"[1,4) anos",27,1,nível 2,bom
261,negativo,24,1603,<100,> 7 anos,55,1,nível 2,bom
262,negativo,18,5302,<100,> 7 anos,36,3,nível 3,bom
263,sem conta,12,2748,<100,> 7 anos,57,3,nível 1,bom
264,sem conta,10,1231,<100,> 7 anos,32,2,nível 1,bom
265,[0-200),15,802,<100,> 7 anos,37,1,nível 2,mau
266,sem conta,36,6304,sem conta,> 7 anos,36,2,nível 2,bom
267,sem conta,24,1533,<100,< 1 ano,38,1,nível 2,bom
268,negativo,14,8978,<100,> 7 anos,45,1,nível 3,mau
269,sem conta,24,999,sem conta,> 7 anos,25,2,nível 2,bom
270,sem conta,18,2662,sem conta,"[4,7) anos",32,1,nível 2,bom
271,sem conta,12,1402,[500-1000),"[4,7) anos",37,1,nível 2,bom
272,[0-200),48,12169,sem conta,desempregado,36,1,nível 3,bom
273,[0-200),48,3060,<100,"[4,7) anos",28,2,nível 2,mau
274,negativo,30,11998,<100,< 1 ano,34,1,nível 1,mau
275,sem conta,9,2697,<100,"[1,4) anos",32,1,nível 2,bom
276,sem conta,18,2404,<100,"[1,4) anos",26,2,nível 2,bom
277,negativo,12,1262,sem conta,> 7 anos,49,1,nível 1,bom
278,sem conta,6,4611,<100,< 1 ano,32,1,nível 2,mau
279,sem conta,24,1901,[100-500),"[1,4) anos",29,1,nível 3,bom
280,sem conta,15,3368,>1000,> 7 anos,23,2,nível 2,bom
281,sem conta,12,1574,<100,"[1,4) anos",50,1,nível 2,bom
282,200+,18,1445,sem conta,"[4,7) anos",49,1,nível 1,bom
283,sem conta,15,1520,sem conta,> 7 anos,63,1,nível 2,bom
284,[0-200),24,3878,[100-500),< 1 ano,37,1,nível 2,bom
285,negativo,47,10722,<100,< 1 ano,35,1,nível 1,bom
286,negativo,48,4788,<100,"[4,7) anos",26,1,nível 2,bom
287,[0-200),48,7582,[100-500),desempregado,31,1,nível 3,bom
288,[0-200),12,1092,<100,"[1,4) anos",49,2,nível 2,bom
289,negativo,24,1024,<100,< 1 ano,48,1,nível 2,mau
290,sem conta,12,1076,<100,"[1,4) anos",26,1,nível 2,bom
291,[0-200),36,9398,<100,< 1 ano,28,1,nível 3,mau
292,negativo,24,6419,<100,> 7 anos,44,2,nível 3,bom
293,200+,42,4796,<100,> 7 anos,56,1,nível 2,bom
294,sem conta,48,7629,sem conta,> 7 anos,46,2,nível 3,bom
295,[0-200),48,9960,<100,< 1 ano,26,1,nível 2,mau
296,sem conta,12,4675,sem conta,< 1 ano,20,1,nível 2,bom
297,sem conta,10,1287,sem conta,> 7 anos,45,1,nível 1,bom
298,sem conta,18,2515,<100,"[1,4) anos",43,1,nível 2,bom
299,[0-200),21,2745,>1000,"[4,7) anos",32,2,nível 2,bom
300,sem conta,6,672,<100,desempregado,54,1,desempregado,bom
301,[0-200),36,3804,<100,"[1,4) anos",42,1,nível 2,mau
302,200+,24,1344,sem conta,"[4,7) anos",37,2,nível 1,mau
303,negativo,10,1038,<100,"[4,7) anos",49,2,nível 2,bom
304,sem conta,48,10127,[500-1000),"[1,4) anos",44,1,nível 2,mau
305,sem conta,6,1543,>1000,"[1,4) anos",33,1,nível 2,bom
306,sem conta,30,4811,sem conta,"[4,7) anos",24,1,nível 1,bom
307,negativo,12,727,[100-500),< 1 ano,33,1,nível 1,mau
308,[0-200),8,1237,<100,"[1,4) anos",24,1,nível 2,mau
309,[0-200),9,276,<100,"[1,4) anos",22,1,nível 1,bom
310,[0-200),48,5381,sem conta,desempregado,40,1,desempregado,bom
311,sem conta,24,5511,[100-500),"[1,4) anos",25,1,nível 2,bom
312,200+,24,3749,<100,< 1 ano,26,1,nível 2,bom
313,[0-200),12,685,<100,"[4,7) anos",25,1,nível 1,mau
314,200+,4,1494,sem conta,< 1 ano,29,1,nível 1,bom
315,negativo,36,2746,<100,> 7 anos,31,1,nível 2,mau
316,negativo,12,708,<100,"[1,4) anos",38,1,nível 1,bom
317,[0-200),24,4351,sem conta,"[1,4) anos",48,1,nível 1,bom
318,sem conta,12,701,<100,"[1,4) anos",32,2,nível 2,bom
319,negativo,15,3643,<100,> 7 anos,27,2,nível 1,bom
320,[0-200),30,4249,<100,desempregado,28,2,nível 3,mau
321,negativo,24,1938,<100,< 1 ano,32,1,nível 2,mau
322,negativo,24,2910,<100,"[4,7) anos",34,1,nível 3,bom
323,negativo,18,2659,>1000,"[1,4) anos",28,1,nível 2,bom
324,sem conta,18,1028,<100,"[1,4) anos",36,2,nível 2,bom
325,negativo,8,3398,<100,"[4,7) anos",39,2,nível 1,bom
326,sem conta,12,5801,sem conta,> 7 anos,49,1,nível 2,bom
327,sem conta,24,1525,>1000,"[4,7) anos",34,1,nível 2,bom
328,200+,36,4473,<100,> 7 anos,31,1,nível 2,bom
329,[0-200),6,1068,<100,> 7 anos,28,1,nível 2,bom
330,negativo,24,6615,<100,desempregado,75,2,nível 3,bom
331,sem conta,18,1864,[100-500),"[1,4) anos",30,2,nível 2,mau
332,[0-200),60,7408,[100-500),< 1 ano,24,1,nível 3,mau
