,conta,duração,quantia,poupança,emprego,idade,creditos,trabalho,pagador
667,sem conta,48,3609,<100,"[1,4) anos",27,1,nível 2,bom
668,negativo,12,4843,<100,> 7 anos,43,2,nível 2,mau
669,200+,30,3017,<100,> 7 anos,47,1,nível 2,bom
670,sem conta,24,4139,[100-500),"[1,4) anos",27,2,nível 1,bom
671,sem conta,36,5742,[100-500),"[4,7) anos",31,2,nível 2,bom
672,sem conta,60,10366,<100,> 7 anos,42,1,nível 3,bom
673,sem conta,6,2080,[500-1000),"[1,4) anos",24,1,nível 2,bom
674,sem conta,21,2580,[500-1000),< 1 ano,41,1,nível 1,mau
675,sem conta,30,4530,<100,"[4,7) anos",26,1,nível 3,bom
676,sem conta,24,5150,<100,> 7 anos,33,1,nível 2,bom
677,[0-200),72,5595,[100-500),"[1,4) anos",24,1,nível 2,mau
678,negativo,24,2384,<100,> 7 anos,64,1,nível 1,bom
679,sem conta,18,1453,<100,< 1 ano,26,1,nível 2,bom
680,sem conta,6,1538,<100,< 1 ano,56,1,nível 2,bom
681,sem conta,12,2279,sem conta,"[1,4) anos",37,1,nível 2,bom
682,sem conta,15,1478,<100,"[1,4) anos",33,2,nível 2,bom
683,sem conta,24,5103,<100,< 1 ano,47,3,nível 2,bom
684,[0-200),36,9857,[100-500),"[4,7) anos",31,2,nível 1,bom
685,sem conta,60,6527,sem conta,"[1,4) anos",34,1,nível 2,bom
686,200+,10,1347,sem conta,"[4,7) anos",27,2,nível 2,bom
687,[0-200),36,2862,[100-500),> 7 anos,30,1,nível 2,bom
688,sem conta,9,2753,[100-500),> 7 anos,35,1,nível 2,bom
689,negativo,12,3651,>1000,"[1,4) anos",31,1,nível 2,bom
690,negativo,15,975,<100,"[1,4) anos",25,2,nível 2,bom
691,[0-200),15,2631,[100-500),"[1,4) anos",25,1,nível 1,bom
692,[0-200),24,2896,[100-500),< 1 ano,29,1,nível 2,bom
693,negativo,6,4716,sem conta,< 1 ano,44,2,nível 1,bom
694,sem conta,24,2284,<100,"[4,7) anos",28,1,nível 2,bom
695,sem conta,6,1236,[500-1000),"[1,4) anos",50,1,nível 2,bom
696,[0-200),12,1103,<100,"[4,7) anos",29,2,nível 2,bom
697,sem conta,12,926,<100,desempregado,38,1,desempregado,bom
698,sem conta,18,1800,<100,"[1,4) anos",24,2,nível 2,bom
699,200+,15,1905,<100,> 7 anos,40,1,nível 3,bom
700,sem conta,12,1123,[500-1000),"[1,4) anos",29,1,nível 1,mau
701,negativo,48,6331,<100,> 7 anos,46,2,nível 2,mau
702,200+,24,1377,[100-500),> 7 anos,47,1,nível 2,bom
703,[0-200),30,2503,[100-500),> 7 anos,41,2,nível 2,bom
704,[0-200),27,2528,<100,< 1 ano,32,1,nível 2,bom
705,sem conta,15,5324,[500-1000),> 7 anos,35,1,nível 2,bom
706,[0-200),48,6560,[100-500),"[4,7) anos",24,1,nível 2,mau
707,[0-200),12,2969,<100,< 1 ano,25,2,nível 2,mau
708,[0-200),9,1206,<100,> 7 anos,25,1,nível 2,bom
709,[0-200),9,2118,<100,"[1,4) anos",37,1,nível 1,bom
710,sem conta,18,629,[500-1000),> 7 anos,32,2,nível 3,bom
711,negativo,6,1198,<100,> 7 anos,35,1,nível 2,mau
712,sem conta,21,2476,sem conta,> 7 anos,46,1,nível 3,bom
713,negativo,9,1138,<100,"[1,4) anos",25,2,nível 1,bom
714,[0-200),60,14027,<100,"[4,7) anos",27,1,nível 3,mau
715,sem conta,30,7596,sem conta,> 7 anos,63,2,nível 2,bom
716,sem conta,30,3077,sem conta,> 7 anos,40,2,nível 2,bom
717,sem conta,18,1505,<100,"[1,4) anos",32,1,nível 3,bom
718,200+,24,3148,sem conta,"[1,4) anos",31,2,nível 2,bom
719,[0-200),20,6148,[100-500),> 7 anos,31,2,nível 2,bom
720,200+,9,1337,<100,< 1 ano,34,2,nível 3,mau
721,[0-200),6,433,>1000,< 1 ano,24,1,nível 2,mau
722,negativo,12,1228,<100,"[1,4) anos",24,1,nível 1,mau
723,[0-200),9,790,[500-1000),"[1,4) anos",66,1,nível 1,bom
724,sem conta,27,2570,<100,"[1,4) anos",21,1,nível 2,mau
725,sem conta,6,250,>1000,"[1,4) anos",41,2,nível 1,bom
726,sem conta,15,1316,[500-1000),"[1,4) anos",47,2,nível 1,bom
727,negativo,18,1882,<100,"[1,4) anos",25,2,nível 2,mau
728,[0-200),48,6416,<100,> 7 anos,59,1,nível 2,mau
729,200+,24,1275,>1000,"[1,4) anos",36,2,nível 2,bom
730,[0-200),24,6403,<100,< 1 ano,33,1,nível 2,bom
731,negativo,24,1987,<100,"[1,4) anos",21,1,nível 1,mau
732,[0-200),8,760,<100,"[4,7) anos",44,1,nível 1,bom
733,sem conta,24,2603,>1000,"[1,4) anos",28,1,nível 2,bom
734,sem conta,4,3380,<100,"[4,7) anos",37,1,nível 2,bom
735,[0-200),36,3990,sem conta,< 1 ano,29,1,desempregado,bom
736,[0-200),24,11560,<100,"[1,4) anos",23,2,nível 3,mau
737,negativo,18,4380,[100-500),"[1,4) anos",35,1,nível 1,bom
738,sem conta,6,6761,<100,"[4,7) anos",45,2,nível 3,bom
739,[0-200),30,4280,[100-500),"[1,4) anos",26,2,nível 1,mau
740,negativo,24,2325,[100-500),"[4,7) anos",32,1,nível 2,bom
741,[0-200),10,1048,<100,"[1,4) anos",23,1,nível 1,bom
742,sem conta,21,3160,sem conta,> 7 anos,41,1,nível 2,bom
743,negativo,24,2483,[500-1000),"[1,4) anos",22,1,nível 2,bom
744,negativo,39,14179,sem conta,"[4,7) anos",30,2,nível 3,bom
745,negativo,13,1797,<100,< 1 ano,28,2,nível 1,bom
746,negativo,15,2511,<100,desempregado,23,1,nível 2,bom
747,negativo,12,1274,<100,< 1 ano,37,1,nível 1,mau
748,sem conta,21,5248,sem conta,"[1,4) anos",26,1,nível 2,bom
749,sem conta,15,3029,<100,"[4,7) anos",33,1,nível 2,bom
750,negativo,6,428,<100,> 7 anos,49,1,nível 2,bom
751,negativo,18,976,<100,< 1 ano,23,1,nível 1,mau
752,[0-200),12,841,[100-500),"[4,7) anos",23,1,nível 1,bom
753,sem conta,30,5771,<100,"[4,7) anos",25,2,nível 2,bom
754,sem conta,12,1555,>1000,> 7 anos,55,2,nível 2,mau
755,negativo,24,1285,sem conta,"[4,7) anos",32,1,nível 2,mau
756,200+,6,1299,<100,"[1,4) anos",74,3,desempregado,bom
757,200+,15,1271,sem conta,"[1,4) anos",39,2,nível 2,mau
758,sem conta,24,1393,<100,"[1,4) anos",31,1,nível 2,bom
759,negativo,12,691,<100,> 7 anos,35,2,nível 2,mau
760,sem conta,15,5045,sem conta,> 7 anos,59,1,nível 2,bom
761,negativo,18,2124,<100,"[1,4) anos",24,2,nível 2,mau
762,negativo,12,2214,<100,"[1,4) anos",24,1,nível 1,bom
763,sem conta,21,12680,sem conta,> 7 anos,30,1,nível 3,mau
764,sem conta,24,2463,[100-500),"[4,7) anos",27,2,nível 2,bom
765,[0-200),12,1155,<100,> 7 anos,40,2,nível 1,bom
766,negativo,30,3108,<100,< 1 ano,31,1,nível 1,mau
767,sem conta,10,2901,sem conta,< 1 ano,31,1,nível 2,bom
768,[0-200),12,3617,<100,> 7 anos,28,3,nível 2,bom
769,sem conta,12,1655,<100,> 7 anos,63,2,nível 1,bom
770,negativo,24,2812,sem conta,> 7 anos,26,1,nível 2,bom
771,negativo,36,8065,<100,"[1,4) anos",25,2,nível 3,mau
772,sem conta,21,3275,<100,> 7 anos,36,1,nível 3,bom
773,sem conta,24,2223,[100-500),> 7 anos,52,2,nível 2,bom
774,200+,12,1480,[500-1000),desempregado,66,3,desempregado,bom
775,negativo,24,1371,sem conta,"[1,4) anos",25,1,nível 2,mau
776,sem conta,36,3535,<100,"[4,7) anos",37,2,nível 2,bom
777,negativo,18,3509,<100,"[4,7) anos",25,1,nível 2,bom
778,sem conta,36,5711,>1000,> 7 anos,38,2,nível 3,bom
779,[0-200),18,3872,<100,desempregado,67,1,nível 2,bom
780,[0-200),39,4933,<100,"[4,7) anos",25,2,nível 2,mau
781,sem conta,24,1940,>1000,> 7 anos,60,1,nível 2,bom
782,[0-200),12,1410,<100,"[1,4) anos",31,1,nível 1,bom
783,[0-200),12,836,[100-500),< 1 ano,23,1,nível 1,mau
784,[0-200),20,6468,sem conta,desempregado,60,1,nível 3,bom
785,[0-200),18,1941,>1000,"[1,4) anos",35,1,nível 1,bom
786,sem conta,22,2675,[500-1000),> 7 anos,40,1,nível 2,bom
787,sem conta,48,2751,sem conta,> 7 anos,38,2,nível 2,bom
788,[0-200),48,6224,<100,> 7 anos,50,1,nível 2,mau
789,negativo,40,5998,<100,"[1,4) anos",27,1,nível 2,mau
790,[0-200),21,1188,<100,> 7 anos,39,1,nível 2,mau
791,sem conta,24,6313,sem conta,> 7 anos,41,1,nível 3,bom
792,sem conta,6,1221,sem conta,"[1,4) anos",27,2,nível 2,bom
793,200+,24,2892,<100,> 7 anos,51,1,nível 2,bom
794,sem conta,24,3062,[500-1000),> 7 anos,32,1,nível 2,bom
795,sem conta,9,2301,[100-500),< 1 ano,22,1,nível 2,bom
796,negativo,18,7511,sem conta,> 7 anos,51,1,nível 2,mau
797,sem conta,12,1258,<100,< 1 ano,22,2,nível 1,bom
798,sem conta,24,717,sem conta,> 7 anos,54,2,nível 2,bom
799,[0-200),9,1549,sem conta,< 1 ano,35,1,desempregado,bom
800,sem conta,24,1597,<100,> 7 anos,54,2,nível 2,bom
801,[0-200),18,1795,<100,> 7 anos,48,2,nível 1,bom
802,negativo,20,4272,<100,> 7 anos,24,2,nível 2,bom
803,sem conta,12,976,sem conta,> 7 anos,35,2,nível 2,bom
804,[0-200),12,7472,sem conta,desempregado,24,1,desempregado,bom
805,negativo,36,9271,<100,"[4,7) anos",24,1,nível 2,mau
806,[0-200),6,590,<100,< 1 ano,26,1,nível 1,bom
807,sem conta,12,930,sem conta,> 7 anos,65,4,nível 2,bom
808,[0-200),42,9283,<100,desempregado,55,1,nível 3,bom
809,[0-200),15,1778,<100,< 1 ano,26,2,desempregado,mau
810,[0-200),8,907,<100,< 1 ano,26,1,nível 2,bom
811,[0-200),6,484,<100,"[4,7) anos",28,1,nível 1,bom
812,negativo,36,9629,<100,"[4,7) anos",24,2,nível 2,mau
813,negativo,48,3051,<100,"[1,4) anos",54,1,nível 2,mau
814,negativo,48,3931,<100,"[4,7) anos",46,1,nível 2,mau
815,[0-200),36,7432,<100,"[1,4) anos",54,1,nível 2,bom
816,sem conta,6,1338,[500-1000),"[1,4) anos",62,1,nível 2,bom
817,sem conta,6,1554,<100,"[4,7) anos",24,2,nível 2,bom
818,negativo,36,15857,<100,desempregado,43,1,nível 3,bom
819,negativo,18,1345,<100,"[1,4) anos",26,1,nível 2,mau
820,sem conta,12,1101,<100,"[1,4) anos",27,2,nível 2,bom
821,200+,12,3016,<100,"[1,4) anos",24,1,nível 2,bom
822,negativo,36,2712,<100,> 7 anos,41,1,nível 2,mau
823,negativo,8,731,<100,> 7 anos,47,2,nível 1,bom
824,sem conta,18,3780,<100,< 1 ano,35,2,nível 3,bom
825,negativo,21,1602,<100,> 7 anos,30,2,nível 2,bom
826,negativo,18,3966,<100,> 7 anos,33,3,nível 2,mau
827,sem conta,18,4165,<100,"[1,4) anos",36,2,nível 2,mau
828,negativo,36,8335,sem conta,> 7 anos,47,1,nível 2,mau
829,[0-200),48,6681,sem conta,"[1,4) anos",38,1,nível 2,bom
830,sem conta,24,2375,[500-1000),"[1,4) anos",44,2,nível 2,bom
831,negativo,18,1216,<100,< 1 ano,23,1,nível 2,mau
832,negativo,45,11816,<100,> 7 anos,29,2,nível 2,mau
833,[0-200),24,5084,sem conta,> 7 anos,42,1,nível 2,bom
834,200+,15,2327,<100,< 1 ano,25,1,nível 1,mau
835,negativo,12,1082,<100,"[1,4) anos",48,2,nível 2,mau
836,sem conta,12,886,sem conta,"[1,4) anos",21,1,nível 2,bom
837,sem conta,4,601,<100,< 1 ano,23,1,nível 1,bom
838,negativo,24,2957,<100,> 7 anos,63,2,nível 2,bom
839,sem conta,24,2611,<100,> 7 anos,46,2,nível 2,bom
840,negativo,36,5179,<100,"[4,7) anos",29,1,nível 2,mau
841,sem conta,21,2993,<100,"[1,4) anos",28,2,nível 1,bom
842,sem conta,18,1943,<100,< 1 ano,23,1,nível 2,mau
843,sem conta,24,1559,<100,"[4,7) anos",50,1,nível 2,bom
844,sem conta,18,3422,<100,> 7 anos,47,3,nível 2,bom
845,[0-200),21,3976,sem conta,"[4,7) anos",35,1,nível 2,bom
846,sem conta,18,6761,sem conta,"[1,4) anos",68,2,nível 2,mau
847,sem conta,24,1249,<100,< 1 ano,28,1,nível 2,bom
848,negativo,9,1364,<100,"[4,7) anos",59,1,nível 2,bom
849,negativo,12,709,<100,> 7 anos,57,1,nível 1,mau
850,negativo,20,2235,<100,"[1,4) anos",33,2,nível 2,mau
851,sem conta,24,4042,sem conta,"[4,7) anos",43,2,nível 2,bom
852,sem conta,15,1471,<100,"[1,4) anos",35,2,nível 2,bom
853,negativo,18,1442,<100,"[4,7) anos",32,2,nível 1,mau
854,sem conta,36,10875,<100,> 7 anos,45,2,nível 2,bom
855,sem conta,24,1474,[100-500),< 1 ano,33,1,nível 2,bom
856,sem conta,10,894,sem conta,"[4,7) anos",40,1,nível 2,bom
857,sem conta,15,3343,<100,"[1,4) anos",28,1,nível 2,bom
858,negativo,15,3959,<100,"[1,4) anos",29,1,nível 2,mau
859,sem conta,9,3577,[100-500),"[1,4) anos",26,1,nível 2,bom
860,sem conta,24,5804,>1000,"[1,4) anos",27,2,nível 2,bom
861,sem conta,18,2169,<100,"[1,4) anos",28,1,nível 2,mau
862,negativo,24,2439,<100,< 1 ano,35,1,nível 2,mau
863,sem conta,27,4526,>1000,< 1 ano,32,2,nível 1,bom
864,sem conta,10,2210,<100,"[1,4) anos",25,1,nível 1,mau
865,sem conta,15,2221,[500-1000),"[1,4) anos",20,1,nível 2,bom
866,negativo,18,2389,<100,< 1 ano,27,1,nível 2,bom
867,sem conta,12,3331,<100,> 7 anos,42,1,nível 2,bom
868,sem conta,36,7409,sem conta,> 7 anos,37,2,nível 2,bom
869,negativo,12,652,<100,> 7 anos,24,1,nível 2,bom
870,sem conta,36,7678,[500-1000),"[4,7) anos",40,2,nível 2,bom
871,200+,6,1343,<100,> 7 anos,46,2,nível 2,bom
872,negativo,24,1382,[100-500),"[4,7) anos",26,2,nível 2,bom
873,sem conta,15,874,sem conta,< 1 ano,24,1,nível 2,bom
874,negativo,12,3590,<100,"[1,4) anos",29,1,nível 1,bom
875,[0-200),11,1322,>1000,"[1,4) anos",40,2,nível 2,bom
876,negativo,18,1940,<100,< 1 ano,36,1,nível 3,bom
877,sem conta,36,3595,<100,> 7 anos,28,1,nível 2,bom
878,negativo,9,1422,<100,< 1 ano,27,1,nível 3,mau
879,sem conta,30,6742,sem conta,"[4,7) anos",36,2,nível 2,bom
880,sem conta,24,7814,<100,"[4,7) anos",38,1,nível 3,bom
881,sem conta,24,9277,sem conta,"[1,4) anos",48,1,nível 2,bom
882,[0-200),30,2181,sem conta,> 7 anos,36,2,nível 2,bom
883,sem conta,18,1098,<100,desempregado,65,2,desempregado,bom
884,[0-200),24,4057,<100,"[4,7) anos",43,1,nível 2,mau
885,negativo,12,795,<100,< 1 ano,53,1,nível 2,mau
886,[0-200),24,2825,sem conta,"[4,7) anos",34,2,nível 2,bom
887,[0-200),48,15672,<100,"[1,4) anos",23,1,nível 2,mau
888,sem conta,36,6614,<100,> 7 anos,34,2,nível 3,bom
889,sem conta,28,7824,sem conta,< 1 ano,40,2,nível 2,bom
890,negativo,27,2442,<100,> 7 anos,43,4,nível 3,bom
891,sem conta,15,1829,<100,> 7 anos,46,2,nível 2,bom
892,negativo,12,2171,<100,"[1,4) anos",38,2,nível 1,bom
893,[0-200),36,5800,<100,"[1,4) anos",34,2,nível 2,bom
894,sem conta,18,1169,sem conta,"[1,4) anos",29,2,nível 2,bom
895,sem conta,36,8947,sem conta,"[4,7) anos",31,1,nível 3,bom
896,negativo,21,2606,<100,< 1 ano,28,1,nível 3,bom
897,sem conta,12,1592,>1000,"[4,7) anos",35,1,nível 2,bom
898,sem conta,15,2186,sem conta,"[4,7) anos",33,1,nível 1,bom
899,negativo,18,4153,<100,"[1,4) anos",42,1,nível 2,mau
900,negativo,16,2625,<100,> 7 anos,43,1,nível 2,mau
901,sem conta,20,3485,sem conta,< 1 ano,44,2,nível 2,bom
902,sem conta,36,10477,sem conta,> 7 anos,42,2,nível 2,bom
903,sem conta,15,1386,sem conta,"[1,4) anos",40,1,nível 2,bom
904,sem conta,24,1278,<100,> 7 anos,36,1,nível 3,bom
905,negativo,12,1107,<100,"[1,4) anos",20,1,nível 3,bom
906,negativo,21,3763,sem conta,"[4,7) anos",24,1,nível 1,bom
907,[0-200),36,3711,sem conta,"[1,4) anos",27,1,nível 2,bom
908,sem conta,15,3594,<100,< 1 ano,46,2,nível 1,bom
909,[0-200),9,3195,sem conta,"[1,4) anos",33,1,nível 1,bom
910,sem conta,36,4454,<100,"[1,4) anos",34,2,nível 2,bom
911,[0-200),24,4736,<100,< 1 ano,25,1,nível 1,mau
912,[0-200),30,2991,sem conta,> 7 anos,25,1,nível 2,bom
913,sem conta,11,2142,>1000,> 7 anos,28,1,nível 2,bom
914,negativo,24,3161,<100,"[1,4) anos",31,1,nível 2,mau
915,[0-200),48,18424,<100,"[1,4) anos",32,1,nível 3,mau
916,sem conta,10,2848,[100-500),"[1,4) anos",32,1,nível 2,bom
917,negativo,6,14896,<100,> 7 anos,68,1,nível 3,mau
918,negativo,24,2359,[100-500),desempregado,33,1,nível 2,mau
919,negativo,24,3345,<100,> 7 anos,39,1,nível 3,mau
920,sem conta,18,1817,<100,"[1,4) anos",28,2,nível 2,bom
921,sem conta,48,12749,[500-1000),"[4,7) anos",37,1,nível 3,bom
922,negativo,9,1366,<100,< 1 ano,22,1,nível 2,mau
923,[0-200),12,2002,<100,"[4,7) anos",30,1,nível 2,bom
924,negativo,24,6872,<100,< 1 ano,55,1,nível 2,mau
925,negativo,12,697,<100,< 1 ano,46,2,nível 2,mau
926,negativo,18,1049,<100,< 1 ano,21,1,nível 2,bom
927,negativo,48,10297,<100,"[4,7) anos",39,3,nível 2,mau
928,sem conta,30,1867,sem conta,> 7 anos,58,1,nível 2,bom
929,negativo,12,1344,<100,"[1,4) anos",43,2,nível 1,bom
930,negativo,24,1747,<100,< 1 ano,24,1,nível 1,bom
931,[0-200),9,1670,<100,< 1 ano,22,1,nível 2,mau
932,sem conta,9,1224,<100,"[1,4) anos",30,2,nível 2,bom
933,sem conta,12,522,[500-1000),> 7 anos,42,2,nível 2,bom
934,negativo,12,1498,<100,"[1,4) anos",23,1,nível 2,bom
935,[0-200),30,1919,[100-500),< 1 ano,30,2,nível 3,mau
936,200+,9,745,<100,"[1,4) anos",28,1,nível 1,mau
937,[0-200),6,2063,<100,< 1 ano,30,1,nível 3,bom
938,[0-200),60,6288,<100,"[1,4) anos",42,1,nível 2,mau
939,sem conta,24,6842,sem conta,"[1,4) anos",46,2,nível 3,bom
940,sem conta,12,3527,sem conta,< 1 ano,45,1,nível 3,bom
941,sem conta,10,1546,<100,"[1,4) anos",31,1,nível 1,bom
942,sem conta,24,929,sem conta,"[4,7) anos",31,1,nível 2,bom
943,sem conta,4,1455,<100,"[4,7) anos",42,3,nível 1,bom
944,negativo,15,1845,<100,< 1 ano,46,1,nível 2,bom
945,[0-200),48,8358,[500-1000),< 1 ano,30,2,nível 2,bom
946,negativo,24,3349,[500-1000),< 1 ano,30,1,nível 2,mau
947,sem conta,12,2859,sem conta,desempregado,38,1,nível 3,bom
948,sem conta,18,1533,<100,< 1 ano,43,1,nível 1,mau
949,sem conta,24,3621,[100-500),> 7 anos,31,2,nível 2,mau
950,[0-200),18,3590,<100,desempregado,40,3,desempregado,bom
951,negativo,36,2145,<100,"[4,7) anos",24,2,nível 2,mau
952,[0-200),24,4113,[500-1000),< 1 ano,28,1,nível 2,mau
953,sem conta,36,10974,<100,desempregado,26,2,nível 3,mau
954,negativo,12,1893,<100,"[1,4) anos",29,1,nível 2,bom
955,negativo,24,1231,>1000,> 7 anos,57,2,nível 3,bom
956,200+,30,3656,sem conta,> 7 anos,49,2,nível 1,bom
957,[0-200),9,1154,<100,> 7 anos,37,3,nível 1,bom
958,negativo,28,4006,<100,"[1,4) anos",45,1,nível 1,mau
959,[0-200),24,3069,[100-500),> 7 anos,30,1,nível 2,bom
960,sem conta,6,1740,<100,> 7 anos,30,2,nível 2,bom
961,[0-200),21,2353,<100,"[1,4) anos",47,2,nível 2,bom
962,sem conta,15,3556,sem conta,"[1,4) anos",29,1,nível 2,bom
963,sem conta,24,2397,[500-1000),> 7 anos,35,2,nível 2,mau
964,[0-200),6,454,<100,< 1 ano,22,1,nível 1,bom
965,[0-200),30,1715,sem conta,"[1,4) anos",26,1,nível 2,bom
966,[0-200),27,2520,[500-1000),"[1,4) anos",23,2,nível 1,mau
967,sem conta,15,3568,<100,> 7 anos,54,1,nível 3,bom
968,sem conta,42,7166,sem conta,"[4,7) anos",29,1,nível 2,bom
969,negativo,11,3939,<100,"[1,4) anos",40,2,nível 1,bom
970,[0-200),15,1514,[100-500),"[1,4) anos",22,1,nível 2,bom
971,sem conta,24,7393,<100,"[1,4) anos",43,1,nível 1,bom
972,negativo,24,1193,<100,desempregado,29,2,desempregado,mau
973,negativo,60,7297,<100,> 7 anos,36,1,nível 2,mau
974,sem conta,30,2831,<100,"[1,4) anos",33,1,nível 2,bom
975,200+,24,1258,[500-1000),"[1,4) anos",57,1,nível 1,bom
976,[0-200),6,753,<100,"[1,4) anos",64,1,nível 2,bom
977,[0-200),18,2427,sem conta,> 7 anos,42,2,nível 2,bom
978,sem conta,24,2538,<100,> 7 anos,47,2,nível 1,mau
979,[0-200),15,1264,[100-500),"[1,4) anos",25,1,nível 2,mau
980,[0-200),30,8386,<100,"[4,7) anos",49,1,nível 2,mau
981,sem conta,48,4844,<100,desempregado,33,1,nível 3,mau
982,200+,21,2923,[100-500),"[1,4) anos",28,1,nível 3,bom
983,negativo,36,8229,<100,"[1,4) anos",26,1,nível 2,mau
984,sem conta,24,2028,<100,"[4,7) anos",30,2,nível 1,bom
985,negativo,15,1433,<100,"[1,4) anos",25,2,nível 2,bom
986,200+,42,6289,<100,< 1 ano,33,2,nível 2,bom
987,sem conta,13,1409,[100-500),desempregado,64,1,nível 2,bom
988,negativo,24,6579,<100,desempregado,29,1,nível 3,bom
989,[0-200),24,1743,<100,> 7 anos,48,2,nível 1,bom
990,sem conta,12,3565,sem conta,< 1 ano,37,2,nível 1,bom
991,sem conta,15,1569,[100-500),> 7 anos,34,1,nível 1,bom
992,negativo,18,1936,sem conta,"[4,7) anos",23,2,nível 1,bom
993,negativo,36,3959,<100,desempregado,30,1,nível 3,bom
994,sem conta,12,2390,sem conta,> 7 anos,50,1,nível 2,bom
995,sem conta,12,1736,<100,"[4,7) anos",31,1,nível 1,bom
996,negativo,30,3857,<100,"[1,4) anos",40,1,nível 3,bom
997,sem conta,12,804,<100,> 7 anos,38,1,nível 2,bom
998,negativo,45,1845,<100,"[1,4) anos",23,1,nível 2,mau
999,[0-200),45,4576,[100-500),desempregado,27,1,nível 2,bom
